session,House,Ministry,theme,question_text,mp_names,date,question_link,Link.1,Unnamed: 9,mp_name_raw,mp_name_clean,mp_name,state,constituency,party,region
Budget Session,Lok Sabha,MoSJE,Employment Certification & Edu,Intellectual Disability, Shafi Parambil,2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU282_z1A9b8.pdf?source=pqals,,Shafi Parambil,Shafi Parambil,Shafi Parambil,Kerala,Vadakara,Indian National Congress,South
Budget Session,Lok Sabha,MoSJE,Rehabilitation,ADIP Scheme, Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,2025-04-25,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AS348_hmv6hQ.pdf?source=pqals,,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,Omprakash Bhupalsinh,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,Maharashtra,Osmanabad,Shiv Sena (Uddhav Balasaheb Thackeray),West
Budget Session,Lok Sabha,MoL&E,Employment,Opportunities for Persons with Disabilities, Amrinder Singh Raja Warring,2025-03-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU87_mfF8p0.pdf?source=pqals,,Amrinder Singh Raja Warring,Amrinder Singh Raja Warring,Amrinder Singh Raja Warring,Punjab,Ludhiana,Indian National Congress,North
Budget Session,Lok Sabha,MoWCD,Guardianship,Adoption of Children by Disabled Parents, G M Harish Balayogi,2025-07-02,<>,GOVERNMENT OF INDIA MINISTRY OF WOMEN AND CHILD DEVELOPMENT LOK SABHA UN-STARRED QUESTION NO. 703 TO BE ANSWERED ON 07.02.2025 A,,G M Harish Balayogi,G M Harish Balayogi,G M Harish Balayogi,Andhra Pradesh,Amalapuram,Telugu Desam Party,South
Budget Session,Lok Sabha,MoD,Pension,Disability Pension entitlement in Defence Forces,Deepender Singh Hooda,2025-03-28,<>,<>,,Deepender Singh Hooda,Deepender Singh Hooda,Deepender Singh Hooda,Haryana,Rohtak,Indian National Congress,North
Budget Session,Lok Sabha,Railway,Miscellaneous,Subsidy in Fare for Divyang and Senior Citizen,Utkarsh Verma Madhur,2025-03-19,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU3199_LYz0sV.pdf?source=pqals,,Utkarsh Verma Madhur,Utkarsh Verma Madhur,Utkarsh Verma Madhur,Uttar Pradesh,Kheri,Samajwadi Party,North
Budget Session,Rajya Sabha,MoSJE,Certification,Intellectual disabilities in the country,Ajeet Madhavrao Gopchade,2025-03-12,<>,https://sansad.in/getFile/annex/267/AU1570_VYbhUA.pdf?source=pqars,,Ajeet Madhavrao Gopchade,Ajeet Madhavrao Gopchade,Ajeet Madhavrao Gopchade,Maharashtra,,Bharatiya Janata Party,West
Budget Session,Rajya Sabha,MoSJE,Certification,Disability Census,Derek O Brien,2025-03-12,<>,https://sansad.in/getFile/annex/267/AU1515_vvbERT.pdf?source=pqars,,Derek O Brien,Derek O Brien,Derek O Brien,West Bengal,,All India Trinamool Congress,East
Budget Session,Rajya Sabha,,,Institution for Persons with Disabilities, Kiran Choudhry,2025-03-12,<>,,,Kiran Choudhry,Kiran Choudhry,Kiran Choudhry,Haryana,,Bharatiya Janata Party,North
Budget Session,Rajya Sabha,MoSJE,Rehabilitation,District Disability Rehabilitation Centres, Kunwar Ratanjeet Pratap Narayan Singh,2025-03-19,<>,https://sansad.in/getFile/annex/267/AU2199_h5Zb0Q.pdf?source=pqars,,Kunwar Ratanjeet Pratap Narayan Singh,Kunwar Ratanjeet Pratap Narayan Singh,Kunwar Ratanjeet Pratap Narayan Singh,Uttar Pradesh,,Bharatiya Janata Party,North
Budget Session,Rajya Sabha,MoSJE,Certification,DISABILITY CERTIFICATES, Sagarika Ghose,2025-03-26,<>,https://sansad.in/getFile/annex/267/AU3003_dPpdPw.pdf?source=pqars,,Sagarika Ghose,Sagarika Ghose,Sagarika Ghose,West Bengal,,All India Trinamool Congress,East
Budget Session,Rajya Sabha,MoSJE,Infrastructure Accessibility,Accessibility of infrastructure for Persons with Disabilities, Swati Maliwal,2025-03-26,<>,https://sansad.in/getFile/annex/267/AU2206_yBuF3F.pdf?source=pqars,,Swati Maliwal,Swati Maliwal,Swati Maliwal,Delhi,,Aam Aadmi Party,North
Budget Session,Rajya Sabha,MoSJE,Education,Pre-Matric Scholarship Scheme For Students With Disabilities, John Brittas,2025-04-02,<>,https://sansad.in/getFile/annex/267/AU3532_YU6Dfe.pdf?source=pqars,,John Brittas,John Brittas,John Brittas,Kerala,,Communist Party of India (Marxist),South
Budget Session,Rajya Sabha,MoSJE,,"National Institute of Locomotor Disabilities, Kolkata", Samik Bhattacharya,2025-03-26,<>,,,Samik Bhattacharya,Samik Bhattacharya,Samik Bhattacharya,West Bengal,,Bharatiya Janata Party,East
Budget Session,Rajya Sabha,MoSJE,,Allocation of funds for Persons with Disabilities (PwDs), Jebi Mather Hisham,2025-03-26,<>,,,Jebi Mather Hisham,Jebi Mather Hisham,Jebi Mather Hisham,Kerala,,Indian National Congress,South
Budget Session,Rajya Sabha,Railway,,Discounts on ticket booking by disabled people through IRCTC app, Sanjay Yadav,2025-03-28,<>,,,Sanjay Yadav,Sanjay Yadav,Sanjay Yadav,Bihar,,Rashtriya Janata Dal,East
Budget Session,Rajya Sabha,MSME,"Employment, Rehabilitation",Beneficiaries under Divyangjan entrepreneurs,Yerram Venkata Subba Reddy,2025-02-10,<>,"GOVERNMENT OF INDIA MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES RAJYA SABHA UNSTARRED QUESTION NO. 741 TO BE ANSWERED ON 10.",,Yerram Venkata Subba Reddy,Yerram Venkata Subba Reddy,Yerram Venkata Subba Reddy,Andhra Pradesh,,Yuvajana Sramika Rythu Congress Party,South
Budget Session,Rajya Sabha,MoRD,"Employment, Rehabilitation",Disabled beneficiaries under MGNREGA,Ajit Kumar Bhuyan,2025-03-21,<>,https://sansad.in/getFile/annex/267/AU2526_PpjR3q.pdf?source=pqars,,Ajit Kumar Bhuyan,Ajit Kumar Bhuyan,Ajit Kumar Bhuyan,Assam,,Independent,Northeast
Budget Session,Rajya Sabha,MoE,Education,Standardized assessment tools for children with learning disabilities,"magunta Sreenivasulu Reddy, Putta Mahesh Kumar",2025-03-12,<>,https://sansad.in/getFile/annex/267/AU1457_Ko5Lag.pdf?source=pqars,,Putta Mahesh Kumar,Putta Mahesh Kumar,Putta Mahesh Kumar,Andhra Pradesh,Eluru,Telugu Desam Party,South
Budget Session,Rajya Sabha,MCA,Employment,Compliance of the norms for employment of persons with disabilities,Dhairyashil Mohan Patil ,2025-03-11,<>,https://sansad.in/getFile/annex/267/AU1338_U4DDRk.pdf?source=pqars,,Dhairyashil Mohan Patil,Dhairyashil Mohan Patil,Dhairyashil Mohan Patil,Maharashtra,,Bharatiya Janata Party,West
